quote_id,date_submitted,date_closed,customer,city,state,sales_rep,product_category,product_detail,quote_amount,discount_pct,final_amount,margin_pct,competitor_mentioned,days_to_quote,days_to_close,result,loss_reason
Q-2025-1001,2025-10-01,2025-10-13,Heartland Foods,Topeka,KS,Jake Finley,Power Transmission,Martin 60B18 Sprocket Set,2162,1.7,2125,21.5,,2,12,Won,
Q-2025-1002,2025-10-02,2025-10-10,FlexPak Solutions,Topeka,KS,Jake Finley,Bearings,SKF 7210 BECBP Angular Contact (qty 10),5570,3.5,5375,21.0,,1,8,Won,
Q-2025-1003,2025-10-02,2025-10-19,Missouri Valley Fab,Independence,MO,Mark Alderman,Power Transmission,Gates Poly Chain GT Carbon Belt,2685,6.0,2524,21.1,,1,17,Lost,Project canceled
Q-2025-1004,2025-10-02,2025-10-26,National Beef Packing,Dodge City,KS,Lisa Cheng,MRO/Mixed,"Quarterly MRO kit — filters, belts, lubricants",4696,4.3,4494,26.5,,0,24,Lost,Lead time
Q-2025-1005,2025-10-03,2025-10-23,River Bluff Packaging,Lawrence,KS,Mark Alderman,MRO/Mixed,"Conveyor maintenance kit — rollers, belting, hardware",59602,4.2,57099,23.0,Grainger,6,20,Won,
Q-2025-1006,2025-10-03,2025-10-18,Westar Energy,Topeka,KS,Jake Finley,Bearings,SKF 23120 CC/W33 Spherical (qty 6),19142,2.1,18740,23.5,,1,15,Lost,Lead time
Q-2025-1007,2025-10-05,2025-10-16,Salina Vortex,Salina,KS,Jake Finley,Bearings,SKF 6205-2RS Deep Groove (qty 6),8657,1.3,8544,23.6,,0,11,Won,
Q-2025-1008,2025-10-07,2025-10-13,Tyson Fresh Meats,Emporia,KS,Lisa Cheng,Power Transmission,Gates PowerGrip GT3 Belt Kit,1764,5.3,1671,24.3,,1,6,Won,
Q-2025-1009,2025-10-07,2025-10-17,Prairie State CNC,Wichita,KS,Mark Alderman,Bearings,SealMaster NP-20T Pillow Block (qty 12),27813,9.8,25087,21.459999999999997,Applied Industrial,10,10,Won,
Q-2025-1010,2025-10-09,2025-10-28,Jensen Manufacturing,Olathe,KS,Jake Finley,Power Transmission,Martin D80B17H Double Sprocket Set,5459,0.5,5432,29.7,,0,19,Won,
Q-2025-1011,2025-10-09,2025-10-16,Heartland Foods,Topeka,KS,Jake Finley,Power Transmission,Gates Poly Chain GT Carbon Belt,20016,0,20016,31.2,,4,7,Won,
Q-2025-1012,2025-10-11,2025-11-04,Tyson Fresh Meats,Emporia,KS,Lisa Cheng,Bearings,Dodge P2B-SC-104 Pillow Block (qty 10),39193,3.4,37860,27.6,Motion Industries,2,24,Lost,Project canceled
Q-2025-1013,2025-10-12,2025-10-26,Central Iowa Machining,Des Moines,IA,Jake Finley,Power Transmission,Rexnord 1050T Grid Coupling,27386,8.0,25195,30.8,Applied Industrial,4,14,Lost,Price
Q-2025-1014,2025-10-12,2025-11-04,Plains Equipment Group,Wichita,KS,Lisa Cheng,Valves,Bray Series 31 6in Butterfly + Actuator Package,2526,0.9,2503,29.0,,1,23,Lost,No response
Q-2025-1015,2025-10-13,2025-10-20,River Bluff Packaging,Lawrence,KS,Mark Alderman,Power Transmission,Rexnord 1050T Grid Coupling,30158,7.2,27987,21.0,Motion Industries,9,7,Lost,Lead time
Q-2025-1016,2025-10-16,2025-10-28,Consolidated Packaging,Lenexa,KS,Mark Alderman,Power Transmission,Gates PowerGrip GT3 Belt Kit,33147,3.4,32020,26.9,Applied Industrial,8,12,Won,
Q-2025-1017,2025-10-16,2025-10-21,Consolidated Packaging,Lenexa,KS,Lisa Cheng,MRO/Mixed,"Pump rebuild kit — seals, bearings, couplings",2027,5.0,1926,32.0,,1,5,Won,
Q-2025-1018,2025-10-16,2025-10-18,Sunflower Electric,Hays,KS,Lisa Cheng,Linear Motion,THK HSR20 Linear Guide Set (qty 48),1887,1.6,1857,32.4,,0,2,Won,
